Test Case_ID,Test Case,Functionality
TC_4379,Check whether selected scheme is deleted,Positive
TC_4380,Check whether user is able to see edit button ,Positive
TC_4381,Check whether user is able to click on edit functionality ,Positive
TC_4382,Check whether user is able to see pop up title as Lumpsum,Positive
TC_4383,Check whether user is able to see selected scheme and folio ,Positive
TC_4384,Check whether  user is able to edit scheme and folio number ,Positive
TC_4385,To verify user is able to view “Enter Your Investment Amount” field,Positive
TC_4386,To verify user is able to click on “Enter Your Investment Amount” field,Positive
TC_4387,TO verify user is able to enter number in “Enter Your amount” field,Positive
TC_4388,To check whether user is able to enter characters in investment amount field,Negative
TC_4389,To check whether user is able to enter special characters in investment amount field,Negative
TC_4390,To check whether user is able to enter blank space in investment amount field,Negative
TC_4391,Keep amount field blank and proceed further,Negative
TC_4392,Enter amount less than 500 and proceed further,Negative
TC_4393,Enter amount eqaul to 500 and proceed further,Positive
TC_4394,Enter amount more than 500 and proceed further,Negative
TC_4395,To check that if user enter amount manually then entered amount displayed in word also,Positive
TC_4396,To verify user is able to view amount selector for Enter your investment Amount,Positive
TC_4397,To verify if user is able to select only one option from amount selector,Positive
TC_4398,To check that whether user is able to select 500,Positive
TC_4399,To check that whether user is able to select 1000,Positive
TC_4400,To check that whether user is able to select 2000,Positive
TC_4401,To check that whether user is able to select 5000,Positive
TC_4402,"To check whether user is able to see ""Continue Payment "" button",Positive
TC_4403,To check whether user is able to click on “Continue Payment” button,Positive
TC_4404,Check whether after clicking on Continue to payment user is redirected to same page ,Positive
TC_4405,"Check whether user is able to see ""Select payment mode "" title ",Positive
TC_4406,"Check whether three tabs are displayed for payment
1. Net banking 
2. UPI
3. NEFT / RTGS ",Positive
TC_4407,Check whether user is able to click on these tabs  ,Positive
TC_4408,Check whether user is able to select only one option ,Positive
TC_4409,Check whether user is able to select more than one option ,Negative
TC_4410,To verify whether user is able to see net banking button,Positive
TC_4411,To verify whether user is able to click on net banking payment button,Positive
TC_4412,"To verify whether user is able to see ""select bank"" title",Positive
TC_4413,To verify whether user is able to select enteries from drop down list,Positive
TC_4414,To verify whether ia able to proceed further without selecting bank,Negative
TC_4415,To verify whether user is able to see UPI payment button,Positive
TC_4416,To verify whether user is able to click on UPI payment button,Positive
TC_4417,"To verify whether user is able to see ""select bank"" title",Positive
TC_4418,To verify whether user is able to select enteries from drop down list,Positive
TC_4419,To verify whether is able to proceed further without selecting bank,Negative
TC_4420,To verify whether user is able to see NEFT/RTGS payment button,Positive
TC_4421,To verify whether user is able to click on NEFT/RTGS payment button,Positive
TC_4422,"To verify whether user is able to see ""select bank"" title",Positive
TC_4423,To verify whether user is able to select enteries from drop down list,Positive
TC_4424,To verify whether user is able to proceed further without selecting bank,Negative
TC_4425,"To verify whether user is able to see ""ENTER USER TRANSACTION REFERENCE NO. (UTR) RECEIVED FROM YOUR BANK ON PAYMENT"" text",Positive
TC_4426,To verify whether user is able to enter values for UTR field,Positive
TC_4427,To verify whether user is able to enter only numbers in UTR field,Positive
TC_4428,To verify whether user is able to enter only alphabets in UTR field,Negative
TC_4429,To verify whether user is able to enter only special charcters in UTR field,Negative
TC_4430,To verify whether user is able to enter only alphanumeric character in UTR field,Negative
TC_4431,Check whether user is able to complete full transaction with selectiong one payment mode at a time ,Positive
TC_4432,"Check whether user is able to see title / section as ""Payment Summary "" ",Positive
TC_4433,"Check whether user is able to see coloumns 
1.Transaction type 
2.Amount ",Positive
TC_4434,"Check whether user is able to see option under transaction type 
1.SIP/SIP today
2.Lumpsum  ",Positive
TC_4435,Check whether user is able to see addition of all values(amount)  according to transaction type ,Positive
TC_4436,Check whether total of both the transaction amount is displayed ,Positive
TC_4437,To verify whether user is able to see terms and conditions checkbox,Positive
TC_4438,To verify whether user is able to click on checkbox for terms and conditions,Positive
TC_4439,To verify whether user is able to uncheck on checkbox for terms and conditions,Negative
TC_4440,Check whether user is able to proceed further without clicking on check box ,Positive
TC_4441,Check whether user is able to click on Read full text ,Positive
TC_4442,"Check after clicking on text , full text for terms and conditions is displayed  ",Positive
TC_4443,Check whether user is able to see and click continue to payment button ,Positive
TC_4444,Check whether after clicking on continue to payment button user is redirected to order summary page ,Positive
TC_4445,To check whether user is able to view the confirmation status as “SORRY YOUR TRANSACTION HAS BEEN FAILED” if transaction is failed,Positive
TC_4446,"To check whether user is able to view message as ""YOUR PAYMENT TOWARDS MUTUAL FUND INVESTMENT HAS BEEN FAILED""",Positive
TC_4447,To check whether user is able to view transaction date & time,Positive
TC_4448,To verify if transaction date & time is given in the following format “DD-Month-YYYY” & “H-M-S”,Positive
TC_4449,To verify if user is able to view the title as Order Summary,Positive
TC_4450,"To verify if user is able to view the following columns in order summary table
1. Sr. No. 
2.Transaction Ref no.
3. Scheme Name
4. Transaction type
5.Start date / End date
6. Tenure
7. Booster Amt / Frequency
8. Amount",Positive
TC_4451,To check whether user is able to view the confirmation status as “YOUR REQUEST HAS BEEN SUCCESSFULLY ACKNOWLEDGED” if transaction is succeeded,Positive
TC_4452,To check whether user is able to view transaction date & time,Positive
TC_4453,To verify if transaction date & time is given in the following format “DD-month-YYYY” & “H-M-S”,Positive
TC_4454,To verify if user is able to view the title as Order Summary,Positive
TC_4455,"To verify if user is able to view the following columns in order summary table
1. #
2.Transaction Ref no.
3. Scheme Name
4. Transaction type
5.Start date / End date
6. Tenure
7. Booster Amt / Frequency
8. Amount",Positive
TC_4456,Check whether after order summary page user is able to logout or navigate to other menus ,Positive
TC_4457,Check whether user is able to click on New funds tab ,Positive
TC_4458,Check whether user is able to click on New funds tab ,Positive
TC_4459,Check whether user is redirected to new fund ( purchase page ) ,Positive
TC_4460,Check whetehr user is able to see fund type title ,Positive
TC_4461,Check whether user is able to see following tabs Equity fund | Hybrid fund |ETF fund | ELSS | Debt fund | Fund of fund ,Positive
TC_4462,Check whether user is able to click on following tabs mentioned above ,Positive
TC_4463,Check whether user is able to click on more than 1 tab ,Negative
TC_4464,Check whether user is able to click on one tab ,Positive
TC_4465,Check whether user is able to proceed without selecting any tab ,Negative
TC_4466,Check whether user is able to proceed with selecting any tab ,Positive
TC_4467,Check whether user is able to see  Select plan option ,Positive
TC_4468,"Check whether user is able to see radio button as 
1.Direct
2.Regular ",Positive
TC_4469,Check whetehr user is able to proceed with direct plan ,Positive
TC_4470,Check whether user is able to proceed with regular plan ,Positive
TC_4471,Check whether user is able to proceed without selecting any option ,Positive
TC_4472,To check whether user is able to see Fund name scheme dropdown,Positive
TC_4473,To check whether user is able to select the scheme from dropdown,Positive
TC_4474,To check whether user is able to select 1 scheme from dropdown,Positive
TC_4475,To check whether user is able to select more than 1 scheme from dropdown,Negative
TC_4476,To check only selected scheme display in dropdown field,Positive
TC_4477,Check whether all schems are displayed here,Positive
TC_4478,To check whether user is able to see NAV below the scheme name,Positive
TC_4479,To check whether NAV data is dislayed for each selected scheme is same as data present on live website ,Positive
TC_4480,To check whether Exit load is displayed for each selected scheme,Positive
TC_4481,"To check user hover mouse on""i"" icon of exit load",Positive
TC_4482,To check whether exit load is dislayed for each selected scheme is same as data present on live website ,Positive
TC_4483,Check whether user is able to see option type dropdown ,Positive
TC_4484,Check whether user is able to select one option from the dropdown  ,Positive
TC_4485,Check whether user is able to select more than one option from the dropdown ,Negative
TC_4486,Check whether user is able to proceed further without selecting any option from the dropdown ,Negative
TC_4487,Check whether user is able to proceed with selecting one option ,Positive
TC_4488,Check whether according to scheme selected option type value in dropdown  changes ,Positive
TC_4489,Check whether user is able to see folio details section ,Positive
TC_4490,To check whether user is able to view Holding type dropdown,Positive
TC_4491,To verify that user is able to click the Holding type drop down,Positive
TC_4492,To check whether Holding types displayed in dropdown,Positive
TC_4493,To verify that user is able to view Single option under Holding type drop down,Positive
TC_4494,To verify that user is able to view ANyone or survivor option under Holding type drop down,Positive
TC_4495,"Check whether holding type is same as user's mode of holding 
E.g If selected scheme is under anyone or survivor mode of holding created by user then same mode of holding should be displayed and not other options ",Positive
TC_4496,Check whether holder name is displayed ,Positive
TC_4497,Check whether holder name field is non editable ,Positive
TC_4498,Check whether holders full  name is displayed ,Positive
TC_4499,To check whether user is able to view Folio no.dropdown,Positive
TC_4500,To check whether user is able to click Folio no.dropdown,Positive
TC_4501,To check whether user is able to select 1 folio from folio no dropdown,Positive
TC_4502,To check whether user is able to select more than 1 folio from dropdown,Positive
TC_4503,To check whether folio no is displayed as per the selection of holding type,Positive
TC_4504,Check whether newly created folio are also displayed here ,Positive
TC_4505,Check whether user is able to select newly created folio ,Positive
TC_4506,CHeck whether user is able to proceed with newly created folio ,Positive
TC_4507,User should be able to see broker details section,Positive
TC_4508,Check whether user is able to see distributor details section,Positive
TC_4509,Check wheher user is able to select regular scheme with broker code,Positive
TC_4510,"Check whether user is able to see following 
1.DISTRIBUTOR ARN
2.SUB DISTRIBUTOR ARN
3.INTERNAL SUB BROKER/EMPLOYEE CODE
4.EUIN Number",Positive
TC_4511,"To check whether user is able to see and click on ""New ARN"" button functionality",Positive
TC_4512,To check whether user is able to see Exisitng ARN button functionality,Positive
TC_4513,To check whether user is able to select options from dropdown in case of existing arn functionality,Positive
TC_4514,Check whether user is able to select option from dropdown,Positive
TC_4515,To verify that without selecting distributor ARN code proceed further,Negative
TC_4516,To verify that with selecting distributor ARN code proceed further,Positive
TC_4517,Check whether user is able to enter distributor code manually,Positive
TC_4518,Check whether user is able to enter only numbers in distributor code ARN field,Positive
TC_4519,Check whether user is able to enter only alphabets in distributor code ARN field,Negative
TC_4520,Check whether user is able to enter alphanumeric characters in distributor code ARN field,Negative
TC_4521,Check whether user is able to enter only - (hyphen) special character in distributor code ARN field,Positive
TC_4522,Check whether user is able to enter only numbers in Sub distributor code RIA field,Positive
TC_4523,Check whether user is able to enter only alphabets in Sub distributor code RIA field,Positive
TC_4524,Check whether user is able to enter alphanumeric characters in Sub distributor code RIA field,Positive
TC_4525,Check whether user is able to enter only - (hyphen) special character in Sub distributor code RIA field,Positive
TC_4526,"Check whether user is able to enter Sub distributor code RIA in  following format only 
e.g.RIA-0000 | INA000",Positive
TC_4527,Without entering Sub distributor ARN code and proceed further,Positive
TC_4528,Check whether user is able to enter only numbers in Internal sub broker code / Employee code,Positive
TC_4529,Check whether user is able to enter only alphabets in Internal sub broker code / Employee code,Positive
TC_4530,Check whether user is able to enter only alphanumeric characters in Internal sub broker code / Employee code,Positive
TC_4531,Check whether user is able to enter Special characters in Internal sub broker code / Employee code,Positive
TC_4532,To check whether user is able to see EUIN no field,Positive
TC_4533,To check whether user is able to enter EUIN no if checkbox is unchecked,Positive
TC_4534,To check whether user is able to enter EUIN no if checkbox is checked,Positive
TC_4535,To check whether user is able to check/uncheck checkbox,Positive
TC_4536,Check whether user is able to select direct scheme with broker code,Positive
TC_4537,"Check whether user is able to see and click on ""New RIA"" button functionality",Positive
TC_4538,To check whether user is able to see Exisitng RIA button functionality,Positive
TC_4539,To check whether user is able to select options from dropdown in case of existing ria functionality,Positive
TC_4540,To check whether user is able to see direct moamc  button functionality,Positive
TC_4541,To check whether user is not able to enter code after clicking on direct moamc button,Positive
TC_4542,Check whether user is able to select option from dropdown,Positive
TC_4543,To verify that without selecting distributor ARN code proceed further,Negative
TC_4544,To verify that with selecting distributor ARN code proceed further,Positive
TC_4545,Check whether user is able to enter distributor code manually,Positive
TC_4546,Check whether user is able to enter only numbers in distributor code ARN field,Negative
TC_4547,Check whether user is able to enter only alphabets in distributor code ARN field,Negative
TC_4548,Check whether user is able to enter alphanumeric characters in distributor code ARN field,Positive
TC_4549,Check whether user is able to enter only - (hyphen) special character in distributor code ARN field,Positive
TC_4550,Check whether user is able to enter only numbers in Sub distributor code RIA field,Positive
TC_4551,Check whether user is able to enter only alphabets in Sub distributor code RIA field,Positive
TC_4552,Check whether user is able to enter alphanumeric characters in Sub distributor code RIA field,Positive
TC_4553,Check whether user is able to enter only - (hyphen) special character in Sub distributor code RIA field,Positive
TC_4554,"Check whether user is able to enter Sub distributor code RIA in  following format only 
e.g.RIA-0000 | INA000",Positive
TC_4555,Without entering Sub distributor ARN code and proceed further,Positive
TC_4556,Check whether user is able to enter only numbers in Internal sub broker code / Employee code,Positive
TC_4557,Check whether user is able to enter only alphabets in Internal sub broker code / Employee code,Positive
TC_4558,Check whether user is able to enter only alphanumeric characters in Internal sub broker code / Employee code,Positive
TC_4559,Check whether user is able to enter Special characters in Internal sub broker code / Employee code,Positive
TC_4560,To check whether user is able to see EUIN no field,Positive
TC_4561,To check whether user is able to enter EUIN no if checkbox is unchecked,Positive
TC_4562,To check whether user is able to enter EUIN no if checkbox is checked,Positive
TC_4563,To check whether user is able to check/uncheck checkbox,Positive
TC_4564,Check whether user is able to see section title as Add Money ,Positive
TC_4565,To check user is able to see Investment amount field,Positive
TC_4566,To check whether user is able to enter numbers in investment amount field,Positive
TC_4567,To verify that user is able to view amount selector for Enter your Investment Amount,Positive
TC_4568,To verify that user is able to select only one option from Amount selector,Positive
TC_4569,To check whether user is able to enter characters in investment amount field,Negative
TC_4570,To check whether user is able to enter special characters in investment amount field,Negative
TC_4571,To check whether user is able to enter blank space in investment amount field,Negative
TC_4572,Keep amount field blank and proceed further,Negative
TC_4573,Enter amount less than 500 and proceed further,Negative
TC_4574,Enter amount eqaul to 500 and proceed further,Positive
TC_4575,Enter amount more than 500 and proceed further,Positive
TC_4576,To check that if user enter amount manually then entered amount displayed in word also,Positive
TC_4577,To check that whether user is able to select 500,Positive
TC_4578,To check that whether user is able to select 1000,Positive
TC_4579,To check that whether user is able to select 2000,Positive
TC_4580,To check that whether user is able to select 5000,Positive
TC_4581,Check whether user is able to view cashflow details section ,Positive
TC_4582,"Check whether user is able to see two toggle button for type of withdrawal :
1.SWP
2.Cash flow",Positive
TC_4583,Check whether user is able to select one option at a time ,Positive
TC_4584,Check whether user is able to select both option at same time ,Positive
TC_4585,"Check whether user is able to see following options as 
1.Frequency
2.Date of SWP
3.Number of installments 
4.Investment amount
",Positive
TC_4586,"Check whether user is able to see following options
1.Monthly
2.Quarterly
3.Fortnightly
4.Weekly
5.Annual",Positive
TC_4587,Check whether user is able to select monthly as frequency ,Positive
TC_4588,Check whether user is able to select quarterly as frequency ,Positive
TC_4589,Check whether user is able to select fortnightly as frequency ,Positive
TC_4590,Check whether user is able to select weekly as frequency ,Positive
TC_4591,Check whether user is able to select annual as frequency ,Positive
TC_4592,Check whether user is able to see SWP date functionality ,Positive
TC_4593,"Check whether user is able to able to select date as 7,14,21,28 from calendar ",Positive
TC_4594,"Check whether user is able to see date after T+ 7 days 
E.g if today is 27 march then after T+7 days it will be 3 april since we can select only 7,14,21,28 then swp date will 7 april  ",Positive
TC_4595,Check whether user is able to see T+7 days after 1 year ,Negative
TC_4596,Check whether user is able to see number of installments field ,Positive
TC_4597,Check whetehr user is able to enter installments  manually ,Positive
TC_4598,Check whether user is able increase installments ,Positive
TC_4599,Check whether user is able to decrease installments ,Positive
TC_4600,To verify user is able to view “Enter Your Investment Amount” field,Positive
TC_4601,To verify user is able to click on “Enter Your Investment Amount” field,Positive
TC_4602,TO verify user is able to enter number in “Enter Your amount” field,Positive
TC_4603,To check whether user is able to enter characters in investment amount field,Negative
TC_4604,To check whether user is able to enter special characters in investment amount field,Negative
TC_4605,To check whether user is able to enter blank space in investment amount field,Negative
TC_4606,Keep amount field blank and proceed further,Negative
TC_4607,Enter amount less than 500 and proceed further,Negative
TC_4608,Enter amount eqaul to 500 and proceed further,Positive
TC_4609,Enter amount more than 500 and proceed further,Positive
TC_4610,Check whether user is able to see minimum amount for every frequency selected ,Positive
TC_4611,Check whether user is able to click on cashflow plan,Positive
TC_4612,"Check whether user is able to see following options as 
1.Frequency
2.Date of SWP
3.Number of installments 
4.SWP percentage 
",Positive
TC_4613,"Check whether user is able to see following options
1.Monthly
2.Quarterly
3.Fortnightly
4.Weekly
5.Annual",Positive
TC_4614,Check whether user is able to select monthly as frequency ,Positive
TC_4615,Check whether user is able to select quarterly as frequency ,Positive
TC_4616,Check whether user is able to select fortnightly as frequency ,Positive
TC_4617,Check whether user is able to select weekly as frequency ,Positive
TC_4618,Check whether user is able to select annual as frequency ,Positive
TC_4619,Check whether user is able to see SWP date functionality ,Positive
TC_4620,"Check whether user is able to able to select date as 7,14,21,28 from calendar ",Positive
TC_4621,"Check whether user is able to see date after T+ 7 days 
E.g if today is 27 march then after T+7 days it will be 3 april since we can select only 7,14,21,28 then swp date will 7 april  ",Positive
TC_4622,Check whether user is able to see T+7 days after 1 year ,Negative
TC_4623,Check whether user is able to see number of installments field ,Positive
TC_4624,Check whetehr user is able to enter installments  manually ,Positive
TC_4625,Check whether user is able increase installments ,Positive
TC_4626,Check whether user is able to decrease installments ,Positive
TC_4627,Check whether user  is able to see SWP percentage title ,Positive
TC_4628,"Check whether user is able see following percentage tabs 
1.7.5%
2.10%
3.12%",Positive
TC_4629,Check whether user is able to click on 7.5%,Positive
TC_4630,Check whether user is able to click on 10%,Positive
TC_4631,Check whether user is able to click on 12%,Positive
TC_4632,To verify whether user is able to see terms and conditions checkbox,Positive
TC_4633,To verify whether user is able to click on checkbox for terms and conditions,Positive
TC_4634,To verify whether user is able to uncheck on checkbox for terms and conditions,Positive
TC_4635,To verify whether user is able to proceed further without selecting checkbox,Negative
TC_4636,"To check whether user is able to see ""Continue Payment "" button",Positive
TC_4637,"To check whether user is able to click on ""Continue Payment "" button",Positive
TC_4638,Check whether user lands on investment cart page ,Positive
TC_4639,"Check whether user is able to see mode of holding as 
1.Single
2.Joint ( can be single - minor also )
3.Anyone or Survivor ",Positive
TC_4640,"Check whether the mode of holding selected is same as it was in additional purchase page 
E.g if you selected scheme having mode of holding as Single or joint then on investment pagge Single or joint should be selected ",Positive
TC_4641,"Check whether user is able to see number of Lumpsum, SIP and ISIP(SIP today) below every mode of holding",Positive
TC_4642,Check whether user is able to see check  box in front of every scheme ,Positive
TC_4643,Check whether user is able to check the checkbox for scheme selection functionality ,Positive
TC_4644,Check whether user is able to uncheck the checkbox for scheme selection functionality ,Positive
TC_4645,Check whether user is able to proceed further without selecting checkbox for scheme selection functionality ,Negative
TC_4646,Check whether user is able to proceed further with selecting checkbox for scheme selection functionality ,Positive
TC_4647,Check whether user is able to see icon for distributor details in green color ,Positive
TC_4648,Check whether user is able to click on icon for distributor details in green color ,Positive
TC_4649,Check whether for regular/ direct  scheme the green color icon turns red if user hasnt entered distributor details as it is mandatory ,Positive
TC_4650,Check whether user is able to see click on red icon and allowed to enter distributor details ,Positive
TC_4651,Check whether after filling the distributor details the icon turns green ,Positive
TC_4652,Check whether user is able to see delete icon ,Positive
TC_4653,Check whether user is able to click on delete icon ,Positive
TC_4654,Check whether user is able to see edit button ,Positive
TC_4655,Check whether user is able to click on edit functionality ,Positive
TC_4656,"Check whether after clicking on edit icon a pop window appears for the same transaction 
E.g. If you edit for SIP then SIP pop window should display etc.",Positive
TC_4657,Check whether user is able to see pop up title as SIP / ISIP,Positive
TC_4658,Check whether user is able to see pop up title as Lumpsum,Positive
TC_4659,Check whether user is able to see selected scheme and folio ,Positive
TC_4660,Check whether  user is able to edit scheme and folio number ,Positive
TC_4661,To verify user is able to view “Enter Your Investment Amount” field,Positive
TC_4662,To verify user is able to click on “Enter Your Investment Amount” field,Positive
TC_4663,TO verify user is able to enter number in “Enter Your amount” field,Positive
TC_4664,To check whether user is able to enter characters in investment amount field,Negative
TC_4665,To check whether user is able to enter special characters in investment amount field,Negative
TC_4666,To check whether user is able to enter blank space in investment amount field,Negative
TC_4667,Keep amount field blank and proceed further,Negative
TC_4668,Enter amount less than 500 and proceed further,Negative
TC_4669,Enter amount eqaul to 500 and proceed further,Positive
TC_4670,Enter amount more than 500 and proceed further,Negative
TC_4671,To check that if user enter amount manually then entered amount displayed in word also,Positive
TC_4672,To verify user is able to view amount selector for Enter your investment Amount,Positive
TC_4673,To verify if user is able to select only one option from amount selector,Positive
TC_4674,To check that whether user is able to select 500,Positive
TC_4675,To check that whether user is able to select 1000,Positive
TC_4676,To check that whether user is able to select 2000,Positive
TC_4677,To check that whether user is able to select 5000,Positive
TC_4678,"To check whether user is able to see ""Continue Payment "" button",Positive
TC_4679,To check whether user is able to click on “Continue Payment” button,Positive
TC_4680,Check whether after clicking on Continue to payment user is redirected to same page ,Positive
TC_4681,"Check whether user is able to see ""Select payment mode "" title ",Positive
TC_4682,"Check whether three tabs are displayed for payment
1. Net banking 
2. UPI
3. NEFT / RTGS ",Positive
TC_4683,Check whether user is able to click on these tabs  ,Positive
TC_4684,Check whether user is able to select only one option ,Positive
TC_4685,Check whether user is able to select more than one option ,Negative
TC_4686,To verify whether user is able to see net banking button,Positive
TC_4687,To verify whether user is able to click on net banking payment button,Positive
TC_4688,"To verify whether user is able to see ""select bank"" title",Positive
TC_4689,To verify whether user is able to select enteries from drop down list,Positive
TC_4690,To verify whether ia able to proceed further without selecting bank,Negative
TC_4691,To verify whether user is able to see UPI payment button,Positive
TC_4692,To verify whether user is able to click on UPI payment button,Positive
TC_4693,"To verify whether user is able to see ""select bank"" title",Positive
TC_4694,To verify whether user is able to select enteries from drop down list,Positive
TC_4695,To verify whether is able to proceed further without selecting bank,Negative
TC_4696,To verify whether user is able to see NEFT/RTGS payment button,Positive
TC_4697,To verify whether user is able to click on NEFT/RTGS payment button,Positive
TC_4698,"To verify whether user is able to see ""select bank"" title",Positive
TC_4699,To verify whether user is able to select enteries from drop down list,Positive
TC_4700,To verify whether user is able to proceed further without selecting bank,Negative
TC_4701,"To verify whether user is able to see ""ENTER USER TRANSACTION REFERENCE NO. (UTR) RECEIVED FROM YOUR BANK ON PAYMENT"" text",Positive
TC_4702,To verify whether user is able to enter values for UTR field,Positive
TC_4703,To verify whether user is able to enter only numbers in UTR field,Positive
TC_4704,To verify whether user is able to enter only alphabets in UTR field,Negative
TC_4705,To verify whether user is able to enter only special charcters in UTR field,Negative
TC_4706,To verify whether user is able to enter only alphanumeric character in UTR field,Negative
TC_4707,Check whether user is able to complete full transaction with selectiong one payment mode at a time ,Positive
TC_4708,"Check whether user is able to see title / section as ""Payment Summary "" ",Positive
TC_4709,"Check whether user is able to see coloumns 
1.Transaction type 
2.Amount ",Positive
TC_4710,"Check whether user is able to see option under transaction type 
1.SIP/SIP today
2.Lumpsum  ",Positive
TC_4711,Check whether user is able to see addition of all values(amount)  according to transaction type ,Positive
TC_4712,Check whether total of both the transaction amount is displayed ,Positive
TC_4713,To verify whether user is able to see terms and conditions checkbox,Positive
TC_4714,To verify whether user is able to click on checkbox for terms and conditions,Positive
TC_4715,To verify whether user is able to uncheck on checkbox for terms and conditions,Negative
TC_4716,Check whether user is able to proceed further without clicking on check box ,Negative
TC_4717,"Check whether user is able to click on  ""More""  text ",Positive
TC_4718,"Check after clicking on text , full text for terms and conditions is displayed  ",Positive
TC_4719,Check whether user is able to see and click continue to payment button ,Positive
TC_4720,Check whether after clicking on continue to payment button user is redirected to order summary page ,Positive
TC_4721,To check whether user is able to view the confirmation status as “SORRY YOUR TRANSACTION HAS BEEN FAILED” if transaction is failed,Positive
TC_4722,"To check whether user is able to view message as ""YOUR PAYMENT TOWARDS MUTUAL FUND INVESTMENT HAS BEEN FAILED""",Positive
TC_4723,To check whether user is able to view transaction date & time,Positive
TC_4724,To verify if transaction date & time is given in the following format “YYYY-MM-DD” & “H-M-S”,Positive
TC_4725,To verify if user is able to view the title as Order Summary,Positive
TC_4726,"To verify if user is able to view the following columns in order summary table
1. Sr. No. 
2.Transaction Ref no.
3. Scheme Name
4. Transaction type
5.Start date / End date
6. Tenure
7. Booster Amt / Frequency
8. Amount",Positive
TC_4727,To check whether user is able to view the confirmation status as “YOUR REQUEST HAS BEEN SUCCESSFULLY ACKNOWLEDGED” if transaction is succeeded,Positive
TC_4728,To check whether user is able to view transaction date & time,Positive
TC_4729,To verify if transaction date & time is given in the following format “YYYY-MM-DD” & “H-M-S”,Positive
TC_4730,To verify if user is able to view the title as Order Summary,Positive
TC_4731,"To verify if user is able to view the following columns in order summary table
1. Sr . No. 
2.Transaction Ref no.
3. Scheme Name
4. Transaction type
5.Start date / End date
6. Tenure
7. Booster Amt / Frequency
8. Amount",Positive
TC_4732,Check whether after order summary page user is able to logout or navgate to other menus ,Positive
TC_4733,To verify UTR number is 16 to 22 digits alphanumeric,Positive
TC_4734,To verify if UTR number is less than 16  digits,Negative
TC_4735,To verify if user is able to enter UTR number more than 22 digits,Negative
TC_4736,To verify user is able to view Amount (Rs),Positive
TC_4737,To verify user is able to view Service charges (Inclusive of all charges),Positive
TC_4738,To verify user is able to view Payable amount (Rs),Positive
TC_4739,To verify user is able to view Payable amount (Rs) in red colour,Positive
TC_4740,Enter URL http://mf.moamc.com/transcat/sip,Positive
TC_4741,To check whether user is able to see SIP menu under transct tab,Positive
TC_4742,To check whether user is able to click on SIP menu,Positive
TC_4743,To check whether user selected the fund on dashboard-Portfolio MF page,Positive
TC_4744,To check whether user is able to see Fund scheme dropdown on dashboard,Positive
TC_4745,To check whether user is able to select the scheme from dropdown,Positive
TC_4746,To verify that user is able to select only one fund from Fund Name drop down,Positive
TC_4747,To check whether user is able to select more than 1 scheme from dropdown,Negative
TC_4748,To check only selectted scheme display in dropdown field,Positive
TC_4749,To check whether user is able to see NAV below the scheme name,Positive
TC_4750,To check whetheNAV data is dislayed for each selected scheme is same as data present in database,Positive
TC_4751,To check whether Net Investment value is displayed for each selected scheme,Positive
TC_4752,To check whether Net Investment is displayed for every folio number,Positive
TC_4753,To check whether net investment  is dislayed for each selected scheme is same as data present in database,Positive
TC_4754,To check whether Exit load is displayed for each selected scheme,Positive
TC_4755,"To check user hover mouse on""i"" icon of exit load",Positive
TC_4756,To check whether exit load is dislayed for each selected scheme is same as data present in database,Positive
TC_4757,To check whether Current values in units is dislayed for each selected scheme,Positive
TC_4758,To verify user is able to view current value in rupees for each folio number,Positive
TC_4759,To check whether Current value in rupees is dislayed for each selected scheme is same as data present in database,Positive
TC_4760,To check whether Units are dislayed for each selected scheme,Positive
TC_4761,To check whether Units is displayed for every folio number,Positive
TC_4762,To check whether units is dislayed for each selected scheme is same as data present in database,Positive
TC_4763,To check whether Total Gain/Loss is dislayed for each selected scheme,Positive
TC_4764,To check whether Total Gain/Loss is displayed for every folio number,Positive
TC_4765,To check whether Total Gain/Loss value displayed is same in database,Positive
TC_4766,To check whether Absolute returns %XRR is dislayed for each selected scheme,Positive
TC_4767,To check whether absolute return is displayed for every folio number,Positive
TC_4768,To check whether Absolute returns %XRR value is same in database,Positive
TC_4769,To check if user change scheme from dropdown,Positive
TC_4770,To verify user is able to click on change for scheme dropdown list,Positive
TC_4771,To check whether user is able to view Holding type dropdown,Positive
TC_4772,To check whether Holding types displayed in dropdown,Positive
TC_4773,To verify that user is able to view Single option under Holding type drop down,Positive
TC_4774,"To check whether user is able to select ""Single"" holding type from dropdown",Positive
TC_4775,To check whether holding type is selected as Single,Positive
TC_4776,To check whether holding type is selected as Anyone or survivor ,Positive
TC_4777,To check whether Plan is displayed as per selection of Scheme below broker name field,Positive
TC_4778,To check whether user is able to view Folio no.dropdown,Positive
TC_4779,To check whether user is able to select 1 folio from folio no dropdown,Positive
TC_4780,To check whether user is able to select more than 1 folio from dropdown,Positive
TC_4781,To check whether folio no is displayed as per the selection of holding type,Positive
TC_4782,To check whether folio no is displayed as per the selection of holding type,Positive
TC_4783,To check whether folio number data  is dislayed for each selected scheme is same as data present in database,Positive
TC_4784,User should be able to see broker details section,Positive
TC_4785,Check whether user is able to see distributor details section,Positive
TC_4786,Check wheher user is able to select regular scheme with broker code,Positive
TC_4787,"Check whether user is able to see following 
1.DISTRIBUTOR ARN
2.SUB DISTRIBUTOR ARN
3.INTERNAL SUB BROKER/EMPLOYEE CODE
4.EUIN Number",Positive
TC_4788,"To check whether user is able to see and click on ""New ARN"" button functionality",Positive
